Date,State,Holiday
2013-01-01,nt,New Year's Day
2013-01-28,nt,Australia Day (observed)
2013-03-29,nt,Good Friday
2013-04-01,nt,Easter Monday
2013-04-25,nt,Anzac Day
2013-05-06,nt,Labour Day
2013-06-10,nt,Queens Birthday
2013-08-05,nt,Picnic Day
2013-12-25,nt,Christmas Day
2013-12-26,nt,Boxing Day
2014-01-01,nt,New Year's Day
2014-01-27,nt,Australia Day (observed)
2014-04-18,nt,Good Friday
2014-04-21,nt,Easter Monday
2014-04-25,nt,Anzac Day
2014-05-05,nt,Labour Day
2014-06-09,nt,Queens Birthday
2014-08-04,nt,Picnic Day
2014-12-25,nt,Christmas Day
2014-12-26,nt,Boxing Day
2015-01-01,nt,New Years Day
2015-01-26,nt,Australia Day
2015-04-03,nt,Good Friday
2015-04-06,nt,Easter Monday
2015-04-25,nt,Anzac Day
2015-05-04,nt,Labour Day
2015-06-08,nt,Queens Birthday
2015-08-03,nt,Picnic Day
2015-12-25,nt,Christmas Day
2015-12-26,nt,Boxing Day
2015-12-28,nt,Boxing Day (in lieu)
2016-01-01,nt,New Years Day
2016-01-26,nt,Australia Day
2016-03-25,nt,Good Friday
2016-03-26,nt,Easter Saturday
2016-03-28,nt,Easter Monday
2016-04-25,nt,Anzac Day
2016-05-02,nt,Labour Day
2016-06-13,nt,Queens Birthday
2016-08-01,nt,Picnic Day
2016-12-25,nt,Christmas Day
2016-12-26,nt,Boxing Day
2016-12-27,nt,Christmas Day (in lieu)
2017-01-01,nt,New Years Day
2017-01-02,nt,New Years Holiday
2017-01-26,nt,Australia Day
2017-04-14,nt,Good Friday
2017-04-15,nt,Easter Saturday
2017-04-17,nt,Easter Monday
2017-04-25,nt,Anzac Day
2017-05-01,nt,Labour Day
2017-06-12,nt,Queens Birthday
2017-08-07,nt,Picnic Day
2017-12-25,nt,Christmas Day
2017-12-26,nt,Boxing Day
2018-01-01,nt,New Year's Day
2018-01-26,nt,Australia Day
2018-03-30,nt,Good Friday
2018-03-31,nt,Easter Saturday
2018-04-02,nt,Easter Monday
2018-04-25,nt,Anzac Day
2018-05-07,nt,Labour Day
2018-06-11,nt,Queens Birthday
2018-08-06,nt,Picnic Day
2018-12-25,nt,Christmas Day
2018-12-26,nt,Boxing Day
